Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Downtown Center Leroy Inbound,Sunday,UDC,9:40 PM,Leroy & Murray,9:43 PM,Riverside & Columbus,9:49 PM,Return to Campus,10:00 PM,,
Downtown Center Leroy Inbound,Saturday,UDC,10:10 PM,Leroy & Murray,10:13 PM,Riverside & Columbus,10:19 PM,Return to Campus,10:30 PM,,
Downtown Center Leroy Inbound,Sunday,UDC,10:25 PM,Leroy & Murray,10:28 PM,Riverside & Columbus,10:34 PM,Return to Campus,10:45 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,11:10 PM,Leroy & Murray,11:13 PM,Riverside & Columbus,11:19 PM,Return to Campus,11:30 PM,,
Downtown Center Leroy Inbound,Saturday-Sunday,UDC,11:40 PM,Leroy & Murray,11:43 PM,Riverside & Columbus,11:49 PM,Return to Campus,12:00 AM,,
Downtown Center Leroy Inbound,Sunday,UDC,11:55 PM,Leroy & Murray,11:58 PM,Riverside & Columbus,12:04 AM,Return to Campus,12:15 AM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,8:45 AM,Riverside & Columbus,8:51 AM,Leroy & Murray,8:56 AM,UDC,9:03 AM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,9:45 AM,Riverside & Columbus,9:51 AM,Leroy & Murray,9:56 AM,UDC,10:03 AM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,10:45 AM,Riverside & Columbus,10:51 AM,Leroy & Murray,10:56 AM,UDC,11:03 AM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,11:15 AM,Riverside & Columbus,11:21 AM,Leroy & Murray,11:26 AM,UDC,11:33 AM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,12:30 PM,Riverside & Columbus,12:36 PM,Leroy & Murray,12:41 PM,UDC,12:48 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,1:15 PM,Riverside & Columbus,1:21 PM,Leroy & Murray,1:26 PM,UDC,1:33 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,2:00 PM,Riverside & Columbus,2:06 PM,Leroy & Murray,2:11 PM,UDC,2:18 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,2:45 PM,Riverside & Columbus,2:51 PM,Leroy & Murray,2:56 PM,UDC,3:03 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,3:45 PM,Riverside & Columbus,3:51 PM,Leroy & Murray,3:56 PM,UDC,4:03 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,4:00 PM,Riverside & Columbus,4:06 PM,Leroy & Murray,4:11 PM,UDC,4:18 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,5:30 PM,Riverside & Columbus,5:36 PM,Leroy & Murray,5:41 PM,UDC,5:48 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,6:15 PM,Riverside & Columbus,6:21 PM,Leroy & Murray,6:26 PM,UDC,6:33 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,8:00 PM,Riverside & Columbus,8:06 PM,Leroy & Murray,8:11 PM,UDC,8:18 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,9:00 PM,Riverside & Columbus,9:06 PM,Leroy & Murray,9:11 PM,UDC,9:18 PM,,
Downtown Center Leroy Outbound,Sunday,Union,9:30 PM,Riverside & Columbus,9:36 PM,Leroy & Murray,9:41 PM,UDC,9:48 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,10:30 PM,Riverside & Columbus,10:36 PM,Leroy & Murray,10:41 PM,UDC,10:48 PM,,
Downtown Center Leroy Outbound,Saturday,Union,11:30 PM,Riverside & Columbus,11:36 PM,Leroy & Murray,11:41 PM,UDC,11:48 PM,,
Downtown Center Leroy Outbound,Saturday-Sunday,Union,12:15 AM,Riverside & Columbus,12:21 AM,Leroy & Murray,12:26 AM,UDC,12:33 AM,,
Westside Inbound,Saturday-Sunday,UDC,9:05 AM,Main & Murray,9:08 AM,Floral & Main,9:14 AM,Return to Campus,9:30 AM,,
Westside Inbound,Saturday-Sunday,UDC,10:05 AM,Main & Murray,10:08 AM,Floral & Main,10:14 AM,Return to Campus,10:30 AM,,
Westside Inbound,Saturday-Sunday,UDC,11:05 AM,Main & Murray,11:08 AM,Floral & Main,11:14 AM,Return to Campus,11:30 AM,,
Westside Inbound,Saturday-Sunday,UDC,11:35 AM,Main & Murray,11:38 AM,Floral & Main,11:44 AM,Return to Campus,12:00 PM,,
Westside Inbound,Saturday-Sunday,UDC,12:50 PM,Main & Murray,12:53 PM,Floral & Main,12:59 PM,Return to Campus,1:15 PM,,
Westside Inbound,Saturday-Sunday,UDC,1:35 PM,Main & Murray,1:38 PM,Floral & Main,1:44 PM,Return to Campus,2:00 PM,,
Westside Inbound,Saturday-Sunday,UDC,2:20 PM,Main & Murray,2:23 PM,Floral & Main,2:29 PM,Return to Campus,2:45 PM,,
Westside Inbound,Saturday-Sunday,UDC,3:05 PM,Main & Murray,3:08 PM,Floral & Main,3:14 PM,Return to Campus,3:30 PM,,
Westside Inbound,Saturday-Sunday,UDC,4:05 PM,Main & Murray,4:08 PM,Floral & Main,4:14 PM,Return to Campus,4:30 PM,,
Westside Inbound,Saturday-Sunday,UDC,4:20 PM,Main & Murray,4:23 PM,Floral & Main,4:29 PM,Return to Campus,4:45 PM,,
Westside Inbound,Saturday-Sunday,UDC,5:50 PM,Main & Murray,5:53 PM,Floral & Main,5:59 PM,Return to Campus,6:15 PM,,
